hv000,hv001,hv005,wealth_index
SN8,10.0,3006363.0,-0.23991239326899064
SN8,10.0,3006363.0,-1.2984875072907864
SN8,10.0,3006363.0,-0.7813673024232951
SN8,10.0,3006363.0,-0.5969261414796947
SN8,10.0,3006363.0,-0.7916361645274304
SN8,10.0,3006363.0,-0.7940487464299862
SN8,10.0,3006363.0,-1.1082645531147974
SN8,10.0,3006363.0,-0.6740490213466112
SN8,10.0,3006363.0,-0.7585910092279596
SN8,10.0,3006363.0,-0.7073841128289635
SN8,10.0,3006363.0,-1.0610464468266378
SN8,10.0,3006363.0,-0.9044265091407728
SN8,10.0,3006363.0,-0.7949080473134181
SN8,10.0,3006363.0,-0.7083457905171338
SN8,11.0,960015.0,-0.6641813846243791
SN8,11.0,960015.0,-1.6126576337703251
SN8,11.0,960015.0,-1.0469415557293822
SN8,11.0,960015.0,0.06313149644930388
SN8,11.0,960015.0,-0.7422797270921999
SN8,11.0,960015.0,-0.1980272914183741
SN8,11.0,960015.0,-0.7602736746719061
SN8,11.0,960015.0,-1.1154445451095056
SN8,11.0,960015.0,2.4011122250879438
SN8,11.0,960015.0,1.4821628750008542
SN8,11.0,960015.0,-0.22111897976073666
SN8,11.0,960015.0,-0.4656332061758937
SN8,11.0,960015.0,-1.091990639701591
SN8,11.0,960015.0,-0.9493785540494867
SN8,11.0,960015.0,-0.06088835546968333
SN8,11.0,960015.0,-0.9345003300969235
SN8,11.0,960015.0,-0.427384477399074
SN8,11.0,960015.0,-1.2979745493730859
SN8,11.0,960015.0,4.573417073900259
SN8,12.0,837117.0,-0.9314041019325692
SN8,12.0,837117.0,-1.0999356076472901
SN8,12.0,837117.0,-1.3017296194521344
SN8,12.0,837117.0,-1.328899856949225
SN8,12.0,837117.0,-0.50859222044724
SN8,12.0,837117.0,0.035446304531826345
SN8,12.0,837117.0,-0.6708039084015187
SN8,12.0,837117.0,-0.8090043463135862
SN8,12.0,837117.0,-0.7222235935556363
SN8,12.0,837117.0,-0.7804404600135495
SN8,12.0,837117.0,-0.4947610029171212
SN8,12.0,837117.0,-1.4266596731475316
SN8,12.0,837117.0,-0.7631946072873542
SN8,12.0,837117.0,-1.3200627482061902
SN8,12.0,837117.0,-1.5241154607141796
SN8,12.0,837117.0,-1.204869661179489
SN8,12.0,837117.0,-1.1041034559080976
SN8,12.0,837117.0,-0.5590813769734521
SN8,12.0,837117.0,-1.0705914456233276
SN8,12.0,837117.0,-1.1515984116371492
SN8,12.0,837117.0,0.704339814880617
SN8,12.0,837117.0,-1.1627256282370229
SN8,13.0,2665642.0,0.030828484335549605
SN8,13.0,2665642.0,-0.9326725987198439
SN8,13.0,2665642.0,-0.6434171588897589
SN8,13.0,2665642.0,-0.766196951962855
SN8,13.0,2665642.0,-0.028962158568141043
SN8,13.0,2665642.0,-0.8271592854990667
SN8,13.0,2665642.0,-0.7840944179053804
SN8,13.0,2665642.0,-0.16097071348319703
SN8,13.0,2665642.0,0.39576158514699517
SN8,13.0,2665642.0,-0.9988765471850556
SN8,13.0,2665642.0,-1.233769860207341
SN8,13.0,2665642.0,-0.26406495903585847
SN8,13.0,2665642.0,-0.18273457368240023
